id;nombre;descripcion;precio;precio_gratis
1;whenever loudly;burdensome;4760.76;25327.44
2;out winding;zowie accountability;30245.82;12047.93
3;through phooey amidst;deceivingly mortar;3389.84;4470.31
4;uproot;though;3832.98;16050.52
5;boom exterior;cannibalise;8720.18;8782.22
6;valiantly curiously skeletal;brr probable;29912.05;7641.14
7;though;desecrate swiftly oddball;19401.81;28636.43
8;whenever polyester if;hm till same;19873.19;4768.41
9;yum deliberately;ew;17043.6;15063.62
10;forenenst vice;waft;3422.82;5604.8
