id;codigo;nombre;descripcion;precio_base;moneda
1;upliftingly unless till;pro stack phooey;grounded jell sleepily;6118.31;once napkin
2;pigpen jealously until;considering likewise;yet;24357.68;quirkily awful
3;around;throughout er ameliorate;before aw pfft;31274.44;slip nervously frantically
4;which;alongside gallery;not;28034.2;ah
5;jovially since wilderness;decisive;incidentally;24793.46;healthily
6;parched intensely and;reluctantly availability;concerned;18412.12;goat
7;festival manipulate;forsaken peaceful;corrupt provided;7495.02;once
8;boo materialise;epic till;petticoat sneaky;7011.21;new
9;indeed sans;where ah meh;hm readjust vivacious;22120.06;milky stealthily
10;huzzah famously;fondly rigid limply;sweetly towards;26224.64;procurement gah understanding
