id;codigo;nombre;descripcion;precio_adicional
1;after than babyish;deduct pry when;while;22957.77
2;pearl qua ferociously;out;yet whoa;23030.06
3;what;huddle;elevator respray yahoo;16830.7
4;but if clamour;tank;woefully regarding;3486.27
5;given testing bleakly;step-mother;surprisingly failing likewise;28180.9
6;up veg;extract over;primary regularly;11869.96
7;an likely;selfishly;sew;18684.91
8;tank;faint;anaesthetise;2916.19
9;official;total;at;31696.95
10;relative;upright pushy worth;definite likewise lined;28791.34
