id;id_venta_profe;descripcion;preciofinal;fecha
1;29396;boohoo;28912.89;2024-10-10T02:32:29
2;25037;ah before;30133.72;2024-10-09T16:58:14
3;362;fumigate;10300.41;2024-10-09T20:59:02
4;19085;astride question;4786.11;2024-10-10T08:45:04
5;7177;ew coordination proselytise;29916.46;2024-10-09T22:25:31
6;27599;testing lest;21816.78;2024-10-09T21:14:13
7;19615;whereas likewise;432.66;2024-10-10T05:15:23
8;11498;unless provided adventurously;14363.18;2024-10-10T00:07:08
9;22048;whereas;6483.62;2024-10-10T01:55:33
10;14119;despite;7522.8;2024-10-09T17:25:03
